XQAOA,MA_QAOA,QAOA,Classical,Geomans_Williamson
908.0,762.6068024531086,761.8766514271373,877.9999911626569,896.0
896.0,762.6068001863191,761.8766514271139,869.9999995985677,900.0
906.0,762.606799826537,761.8766514272511,903.9999991753858,874.0
920.0,762.6068006932369,761.8766514272327,897.9999379751572,898.0
906.0,762.606802391425,761.8766514270999,881.9999979031509,882.0
910.0,762.606802569796,761.8766514269124,880.000035105098,896.0
896.0,762.6068021936912,761.8766514273533,883.9999997490074,904.0
904.0,762.6068021375513,761.876651426716,877.9999956035982,876.0
914.0,762.6068020553556,761.8766514270362,889.9999941749888,894.0
900.0,762.6068019299747,761.8766514269886,895.9999965982465,890.0
912.0,762.6068002863404,761.8766514268644,878.0000067462009,884.0
896.0,762.6068025101291,761.8766514270693,879.9999941793109,898.0
896.0,762.6067999193093,761.876651427387,883.9999964640044,894.0
908.0,762.6067962309363,639.999999954307,875.9999660809303,906.0
894.0,762.6068014527228,761.8766514238858,879.9999987762856,884.0
900.0,762.6068021589169,639.9999987741417,869.9999981741959,888.0
904.0,762.6068024861634,761.8766514215931,881.9999931883207,884.0
892.0,762.6068021274598,761.8766514272627,884.0000430765214,896.0
916.0,762.6068021261369,761.8766514268989,874.0000020176083,894.0
902.0,762.6068018296609,761.8766514266007,890.0000056963253,890.0
898.0,762.6068018666308,761.8766514269321,885.9999797737427,904.0
916.0,762.606801559815,640.000000000003,868.0000159950121,876.0
906.0,762.606802096626,761.8766514270287,879.9999723746788,888.0
930.0,762.6068017034833,761.8766514273303,884.0000002849553,890.0
898.0,762.6068004923928,761.8766514273572,867.999965831237,888.0
902.0,762.6068022512345,761.8766514269059,887.9999998305151,884.0
892.0,762.6068021355,761.8766514270485,881.9999997014312,898.0
908.0,762.6068020130438,640.0000000000001,883.9999920820518,892.0
906.0,762.6068026177086,761.8766514273173,875.9999976754954,908.0
886.0,762.6068015635105,761.8766514271648,875.999985043956,892.0
906.0,762.6067945072159,761.8766514269483,897.9999815974442,886.0
904.0,762.6068014144964,640.0,881.9999761669732,888.0
