Graph,Algorithm,Depth,MaxCut,AR,Gurobi
1,XQAOA$^{X=Y}_p$,3,18.876953125,0.8580433238636364,22.0
1,QAOA$_p$,3,12.7998046875,0.5818093039772727,22.0
1,MA-QAOA$_p$,3,16.7255859375,0.76025390625,22.0
1,XQAOA$^{X=Y}_p$,3,20.2177734375,0.9189897017045454,22.0
1,QAOA$_p$,3,12.72265625,0.5783025568181818,22.0
1,MA-QAOA$_p$,3,17.2958984375,0.7861772017045454,22.0
1,XQAOA$^{X=Y}_p$,3,19.087890625,0.8676313920454546,22.0
1,QAOA$_p$,3,12.6201171875,0.5736416903409091,22.0
1,MA-QAOA$_p$,3,17.4697265625,0.7940784801136364,22.0
1,XQAOA$^{X=Y}_p$,3,17.982421875,0.8173828125,22.0
1,QAOA$_p$,3,12.6171875,0.5735085227272727,22.0
1,MA-QAOA$_p$,3,16.9921875,0.7723721590909091,22.0
1,XQAOA$^{X=Y}_p$,3,18.5751953125,0.8443270596590909,22.0
1,QAOA$_p$,4,12.83203125,0.5832741477272727,22.0
1,QAOA$_p$,4,12.693359375,0.5769708806818182,22.0
1,QAOA$_p$,4,12.787109375,0.5812322443181818,22.0
1,QAOA$_p$,4,12.6435546875,0.57470703125,22.0
1,QAOA$_p$,4,12.564453125,0.5711115056818182,22.0
1,QAOA$_p$,4,12.708984375,0.5776811079545454,22.0
1,QAOA$_p$,4,12.6376953125,0.5744406960227273,22.0
1,QAOA$_p$,4,12.783203125,0.5810546875,22.0
1,QAOA$_p$,4,12.759765625,0.5799893465909091,22.0
1,QAOA$_p$,4,12.5673828125,0.5712446732954546,22.0
1,QAOA$_p$,5,12.6376953125,0.5744406960227273,22.0
1,QAOA$_p$,5,12.662109375,0.5755504261363636,22.0
1,QAOA$_p$,5,12.6943359375,0.5770152698863636,22.0
1,QAOA$_p$,5,12.69140625,0.5768821022727273,22.0
1,QAOA$_p$,5,12.7138671875,0.5779030539772727,22.0
1,QAOA$_p$,5,12.755859375,0.5798117897727273,22.0
1,QAOA$_p$,5,12.6044921875,0.5729314630681818,22.0
1,QAOA$_p$,5,12.814453125,0.5824751420454546,22.0
1,QAOA$_p$,5,12.6826171875,0.5764825994318182,22.0
1,QAOA$_p$,5,12.798828125,0.5817649147727273,22.0
2,QAOA$_p$,1,13.6865234375,0.684326171875,20.0
