XQAOA,MA_QAOA,QAOA,Classical,Geomans_Williamson,QAOA*
372.0,307.383353642273,310.49309726846064,359.9999919962424,378.0,310.49309726846855
376.0,310.98824933799546,310.4930972675677,365.9999984268416,368.0,310.49309726846855
374.0,310.9882491565827,310.49309726846263,371.9999913689253,366.0,310.49309726846855
376.0,307.4535747129925,310.49309726846326,369.999995981419,374.0,310.49309726846855
372.0,308.30573176703894,310.4930972684624,367.9999998113153,366.0,310.49309726846855
368.0,310.98824903723124,310.4930972684522,375.9999985703367,356.0,310.49309726846855
370.0,307.39203585987053,310.49309726846855,362.0000000156436,374.0,310.49309726846855
370.0,310.98824835959715,255.9999999999998,374.000001668394,366.0,310.49309726846855
366.0,308.5805957783613,310.49309726805103,363.9999921878292,364.0,310.49309726846855
374.0,308.6615404461687,310.4930972684576,365.99999633576414,376.0,310.49309726846855
374.0,310.9882488002801,310.4930972684406,361.9999988682746,368.0,310.49309726846855
376.0,310.98824944526154,310.49309726846246,362.0000040049231,370.0,310.49309726846855
372.0,310.9882491298145,310.4930972684653,371.9999997703569,374.0,310.49309726846855
370.0,307.46506372114777,255.99999978661836,363.9999968296656,358.0,310.49309726846855
372.0,307.56612585550835,310.49309726846553,365.9999948564198,374.0,310.49309726846855
370.0,310.9882492143695,255.99999987297983,371.9999999921987,378.0,310.49309726846855
372.0,307.7016502845637,310.4930972684647,365.9999996258031,374.0,310.49309726846855
376.0,308.862016272919,310.49309726845576,370.0000022552375,356.0,310.49309726846855
372.0,307.6758048077104,310.49309726846724,353.99999951621544,380.0,310.49309726846855
382.0,310.9882492062751,310.4930972684668,367.99999348257904,366.0,310.49309726846855
380.0,310.9882487019023,310.4930972684641,365.9999999614303,374.0,310.49309726846855
368.0,310.9882488685894,256.0000000024602,359.99999362626323,362.0,310.49309726846855
372.0,308.5103794243,310.49309726841346,360.0000327156762,376.0,310.49309726846855
372.0,307.5812943259404,310.4930972684546,369.99999438685296,376.0,310.49309726846855
370.0,310.9882489201757,310.49309726846286,369.999973191605,362.0,310.49309726846855
374.0,307.5920618029834,310.4930972684435,367.9999997895626,364.0,310.49309726846855
378.0,310.988249363012,310.4930972683021,363.9999970567045,366.0,310.49309726846855
382.0,308.8503659338102,256.0000000001344,373.9999990464074,362.0,310.49309726846855
370.0,307.37477252804774,310.4930972684542,379.9999998548116,366.0,310.49309726846855
364.0,310.9882484535247,310.4930972672243,357.9999998981504,376.0,310.49309726846855
374.0,307.44320433270343,310.49309726846326,367.99999965986257,376.0,310.49309726846855
378.0,310.98824866412644,310.4930972684639,361.9999641264304,376.0,310.49309726846855
370.0,307.39608545761024,310.4930972678622,361.9999991599597,360.0,310.49309726846855
382.0,307.64120854370685,310.49309726846394,365.9999997779445,370.0,310.49309726846855
374.0,309.0008581645207,310.4930972684664,349.99999410818043,378.0,310.49309726846855
374.0,309.0978104750636,255.99999998450505,366.0000015258548,374.0,310.49309726846855
376.0,310.98824937310934,310.4930972684616,363.99999970802907,366.0,310.49309726846855
378.0,306.77625982887304,310.4930972680968,353.9999963634379,364.0,310.49309726846855
376.0,310.98824791204845,310.49309726838464,363.999997687714,372.0,310.49309726846855
376.0,308.37584507081567,310.4930972684621,369.999999820281,366.0,310.49309726846855
374.0,309.0728212010981,255.9999997253851,371.999999977811,382.0,310.49309726846855
376.0,308.22778736788194,310.4930972677037,361.9999996993623,372.0,310.49309726846855
382.0,309.2047669386562,256.0000000898902,351.9999968936689,378.0,310.49309726846855
370.0,310.98824790645165,310.4930972684569,371.999999951953,360.0,310.49309726846855
368.0,310.9882488249449,310.493097268463,357.99999720153886,372.0,310.49309726846855
380.0,307.4893515993567,310.49309726845485,369.9999918981089,368.0,310.49309726846855
366.0,310.9882492928444,310.4930972684478,355.9999881120201,352.0,310.49309726846855
374.0,308.13406652843,310.4930972680966,369.99999930208713,364.0,310.49309726846855
378.0,307.79552481189023,310.49309726815574,368.0000054817879,362.0,310.49309726846855
368.0,310.9882491691381,256.00000000000006,367.9999995247359,382.0,310.49309726846855
386.0,310.9882488654026,255.99999999976808,364.0000155910595,374.0,310.49309726846855
380.0,310.9882477255175,310.4930972684675,355.9999996058816,372.0,310.49309726846855
370.0,308.2462306807773,310.4930972684157,353.9999988570648,368.0,310.49309726846855
368.0,307.37740493007936,310.4930972684661,359.9999980752761,368.0,310.49309726846855
374.0,310.9882491501022,310.49309726845416,363.9999887765224,378.0,310.49309726846855
374.0,307.8302445729055,310.49309726842023,359.9999951512279,376.0,310.49309726846855
372.0,308.85274815198875,310.4930972683904,367.999998814793,378.0,310.49309726846855
376.0,310.98824933420497,310.4930972684549,356.00000076785216,372.0,310.49309726846855
376.0,308.33229848290074,255.999999997922,362.0000327741436,374.0,310.49309726846855
376.0,310.9882488778697,310.49309726845394,373.9999999258223,374.0,310.49309726846855
374.0,310.98824866059186,310.49309726779,361.9999995772869,360.0,310.49309726846855
374.0,308.3979784829971,310.4930972684684,363.9999997622679,370.0,310.49309726846855
376.0,309.0172605166348,310.49309726802454,362.000013459553,382.0,310.49309726846855
370.0,307.7379419377714,310.493097268456,361.999990470799,376.0,310.49309726846855
380.0,306.8003483551593,310.4930972684454,365.9999990932312,372.0,310.49309726846855
376.0,308.9852006168612,255.99999997985864,361.999989718216,370.0,310.49309726846855
368.0,310.98824867925,310.4930972684542,357.99997606251213,360.0,310.49309726846855
378.0,310.98824931116224,310.4930972684637,353.9999949866786,370.0,310.49309726846855
370.0,310.9882488459263,310.49309726843853,366.0000137656808,366.0,310.49309726846855
370.0,308.043661656273,310.4930972684353,363.9999966351807,366.0,310.49309726846855
372.0,310.9882485472342,310.49309726838044,367.9999963765878,356.0,310.49309726846855
368.0,310.9882492206258,310.4930971364477,353.99998445679824,376.0,310.49309726846855
372.0,309.3226144963784,310.4930972684503,355.999998272081,372.0,310.49309726846855
370.0,310.988249156654,255.9999999951394,363.9999947927229,364.0,310.49309726846855
374.0,310.98824917374185,310.4930972684399,362.0000024158074,366.0,310.49309726846855
376.0,308.5283690827266,310.49309726844666,357.9999912490831,378.0,310.49309726846855
368.0,310.9882489678944,310.4930972683585,349.999999773483,370.0,310.49309726846855
372.0,310.9882492822412,256.0000000109825,375.9999999690942,366.0,310.49309726846855
378.0,310.98824924734294,310.4930972682153,357.99999910952937,368.0,310.49309726846855
370.0,307.9460247844594,310.4930972684565,369.9999964422087,366.0,310.49309726846855
372.0,310.9882488829302,310.49309726846474,357.99999921027177,380.0,310.49309726846855
374.0,307.7598803712363,310.4930972684571,363.99999987149874,370.0,310.49309726846855
376.0,310.9882491566048,255.99999978999807,369.99999989074223,376.0,310.49309726846855
368.0,308.4738704861979,310.4930972684646,361.9999898099901,364.0,310.49309726846855
374.0,308.11526179357423,256.0,361.99998658279736,372.0,310.49309726846855
374.0,308.296750239689,310.49309726846667,365.9999998341508,358.0,310.49309726846855
366.0,309.0962651659042,255.9999999995925,366.0000026568821,370.0,310.49309726846855
374.0,310.9882489291867,310.49309726843813,358.0000248212478,376.0,310.49309726846855
362.0,310.9882490450793,310.4930972683842,365.99998375482426,370.0,310.49309726846855
374.0,310.988248978425,310.4930972684492,361.9999956334581,372.0,310.49309726846855
382.0,310.9882477896431,310.49309726846013,367.9999979432508,354.0,310.49309726846855
372.0,310.9882490328067,310.49309726844723,359.9999996969772,372.0,310.49309726846855
372.0,310.9882489943788,310.4930972683885,363.999999095917,372.0,310.49309726846855
376.0,307.9315377707124,255.99999998151895,365.9999986810335,366.0,310.49309726846855
372.0,308.4926345270773,310.4930972684476,365.99999866552594,366.0,310.49309726846855
374.0,308.5200968873688,310.4930972684593,367.999999532807,364.0,310.49309726846855
374.0,308.0767399672864,310.4930972684602,359.9999995249857,376.0,310.49309726846855
374.0,308.3748234296262,310.49309726832035,369.9999999750055,370.0,310.49309726846855
370.0,308.55267821015576,310.4930972684577,359.99997961241075,372.0,310.49309726846855
376.0,310.98824948858936,310.49309726846576,359.9999998713526,372.0,310.49309726846855
