XQAOA,MA_QAOA,QAOA,Classical,Geomans_Williamson,QAOA*
590.0,481.9177082157423,482.0640387806211,559.9999991989183,580.0,482.0640387806573
590.0,482.5988190835448,482.0640387806029,559.999999298462,588.0,482.0640387806573
588.0,483.3043695103258,482.06403878065305,559.9999988662405,584.0,482.0640387806573
580.0,484.134126186054,482.0640387803674,567.9999823347646,580.0,482.0640387806573
578.0,481.6762220529234,482.0640387805663,569.9999962461156,580.0,482.0640387806573
596.0,484.37709303525855,482.0640387804372,575.9999953558199,584.0,482.0640387806573
584.0,482.894524432649,482.06403877952937,562.000183796425,584.0,482.0640387806573
592.0,484.71623964629225,383.9999998613922,559.9999820131641,582.0,482.0640387806573
578.0,483.6779979759983,482.064038780608,575.9999944373978,586.0,482.0640387806573
588.0,484.0577383365808,482.064038780344,569.9999952606729,586.0,482.0640387806573
580.0,483.4808341908749,482.0640387806247,585.9999985835598,580.0,482.0640387806573
590.0,483.5281069911919,482.0640387805663,561.9999941955042,582.0,482.0640387806573
586.0,483.2025696256697,482.0640387806536,572.0000000539043,578.0,482.0640387806573
594.0,482.3257295733988,482.0640387657423,574.0000140129042,586.0,482.0640387806573
580.0,482.9048706674096,482.06403878064623,565.9999996464886,576.0,482.0640387806573
586.0,482.8531039451064,383.99999998811126,571.9999990411578,582.0,482.0640387806573
592.0,482.62662935453005,482.0640387806041,571.9999996894401,584.0,482.0640387806573
590.0,483.3813023897723,482.06403878013714,553.9999975695329,572.0,482.0640387806573
592.0,484.5704215856616,482.064038721333,567.9999943769388,590.0,482.0640387806573
576.0,483.5823094757925,482.0640387806561,571.9999903046781,586.0,482.0640387806573
586.0,482.3444758045897,482.0640387806544,569.9999947727109,580.0,482.0640387806573
584.0,482.98515876039846,482.064038780625,583.9999999004007,578.0,482.0640387806573
588.0,483.29786013390674,482.06403877879774,575.9999997017791,578.0,482.0640387806573
592.0,482.9496586134897,482.0640387806144,565.9999942938005,582.0,482.0640387806573
588.0,483.55537390134896,482.0640387805626,565.9999997631953,586.0,482.0640387806573
592.0,483.1006492858426,482.0640387802381,565.9999971216766,578.0,482.0640387806573
598.0,483.025295711024,482.06403878064,571.9999882965656,592.0,482.0640387806573
576.0,483.0336586101064,482.06403878036656,571.999993878298,586.0,482.0640387806573
590.0,482.7723158557801,482.0640387806022,562.0000149093205,594.0,482.0640387806573
586.0,481.66502571920654,482.0640387805906,561.9999969014594,566.0,482.0640387806573
584.0,482.79460005542927,482.0640387800838,571.9999999514562,570.0,482.0640387806573
584.0,483.018153983224,482.0640387805289,571.9999946423123,594.0,482.0640387806573
586.0,482.2379750014414,482.0640387713,563.9999993749875,574.0,482.0640387806573
586.0,481.78848045575455,482.0640387806036,563.9999780479494,572.0,482.0640387806573
588.0,483.4722685928082,482.0640387806503,571.9999904765539,576.0,482.0640387806573
586.0,482.3771837160488,383.999999365039,572.0000144377943,576.0,482.0640387806573
580.0,483.0610267761644,482.064038777001,571.9999992791815,576.0,482.0640387806573
590.0,483.1978185230098,482.0640387806573,561.999999665232,574.0,482.0640387806573
578.0,482.7224308092423,482.0640387806299,583.9999914139171,586.0,482.0640387806573
588.0,483.54641249638354,482.0640387774559,563.9999931025002,572.0,482.0640387806573
594.0,483.6770355124511,482.0640387806488,559.9999766082889,586.0,482.0640387806573
586.0,483.8831779015959,482.0640387806399,559.9999982021918,584.0,482.0640387806573
580.0,483.140271591044,482.0640387795754,573.9999999403262,586.0,482.0640387806573
578.0,483.9877230302758,482.06403878065584,551.9999726896807,586.0,482.0640387806573
594.0,484.6658049873149,482.06403878056494,571.9999989872804,586.0,482.0640387806573
582.0,481.76899933418673,482.0640387805407,573.9999902966396,582.0,482.0640387806573
586.0,482.55444071799934,482.0640387806217,565.9999967651836,586.0,482.0640387806573
590.0,483.4756862615784,482.0640387806356,561.9999921219805,590.0,482.0640387806573
596.0,484.3110800233407,482.0640387804349,567.9999990839029,570.0,482.0640387806573
580.0,483.5001439863682,384.00000000951337,580.0000025605582,584.0,482.0640387806573
590.0,484.0525575339157,482.0640387804478,567.9999807643657,576.0,482.0640387806573
580.0,482.4218353513416,482.0640387806505,569.999999487964,590.0,482.0640387806573
586.0,483.0214689857632,482.0640387806504,569.9999994813442,578.0,482.0640387806573
594.0,483.6594397285493,482.0640387806294,559.9999948770401,586.0,482.0640387806573
596.0,482.8106505091259,482.0640387804348,567.9999994267113,586.0,482.0640387806573
580.0,484.0430582404625,482.06403878058336,575.9999981536924,580.0,482.0640387806573
594.0,483.3252719804451,482.0640387806414,561.9999746345844,590.0,482.0640387806573
594.0,481.90822500958194,482.0640387805136,571.9999933568114,584.0,482.0640387806573
590.0,484.0954670261822,482.0640387805638,539.9999947939133,588.0,482.0640387806573
588.0,482.6794565369221,482.06403878064697,568.0000010944019,594.0,482.0640387806573
586.0,483.2011882092908,482.0640387805768,567.9999888416626,586.0,482.0640387806573
584.0,483.35581206171423,482.06403878057495,571.9999801957209,582.0,482.0640387806573
582.0,483.66909291509984,482.0640387806292,561.9999965592584,576.0,482.0640387806573
590.0,481.913402337528,482.0640387770977,569.9999996788505,588.0,482.0640387806573
582.0,482.7860657808962,482.0640387806428,555.9999817682676,584.0,482.0640387806573
586.0,482.8471111099594,482.06403878064754,555.9999996858708,584.0,482.0640387806573
586.0,483.506894092692,482.0640387805532,573.9999988897763,586.0,482.0640387806573
586.0,483.7742458025689,482.064038778374,583.9999994114288,596.0,482.0640387806573
590.0,483.7799197783928,482.0640387776549,561.9999873078594,592.0,482.0640387806573
578.0,483.72344235997286,482.0640387802604,564.0000215209413,582.0,482.0640387806573
570.0,482.4596627958723,482.06403878056886,573.9999973775792,586.0,482.0640387806573
584.0,483.4907511548275,482.0640387804632,567.9999936080194,592.0,482.0640387806573
588.0,482.7955219185384,482.0640387803407,563.9999994776878,594.0,482.0640387806573
572.0,483.1350896271613,482.0640387806364,569.9999888376092,560.0,482.0640387806573
592.0,481.4544367099693,482.0640387806153,563.9999943646652,576.0,482.0640387806573
