XQAOA,MA_QAOA,QAOA,Classical,Geomans_Williamson,QAOA*
344.0,274.7245844874779,275.8026122627805,338.9999999066532,338.0,275.8026122627805
340.0,275.7278576034128,275.80261226275127,326.9999998189707,326.0,275.8026122627805
340.0,275.03609408928736,275.8026122627776,336.9999999478463,336.0,275.8026122627805
334.0,275.16781305454884,275.8026122627313,324.99999991340053,332.0,275.8026122627805
338.0,275.42857381218084,275.80261226276747,342.9999999586923,342.0,275.8026122627805
345.0,275.0314850227053,275.8026122627794,331.0000002432008,336.0,275.8026122627805
339.0,274.5262788942072,275.8026122627464,325.99999983976886,329.0,275.8026122627805
338.0,275.25125343425145,275.8026122626558,327.999999727604,323.0,275.8026122627805
335.0,273.9601912759115,275.802612262765,327.99999987202415,341.0,275.8026122627805
334.0,274.3709182119326,275.8026122627686,339.9999999214319,333.0,275.8026122627805
329.0,275.1008239732919,275.8026122627664,328.9999995468647,334.0,275.8026122627805
329.0,275.3720172408938,275.80261226276133,324.9999998593655,332.0,275.8026122627805
334.0,274.292321818733,275.8026122624916,329.99999934055865,315.0,275.8026122627805
341.0,275.33051129910467,275.80261226272216,336.99999992456543,323.0,275.8026122627805
342.0,275.2410352826517,275.80261226261985,334.9999998787916,333.0,275.8026122627805
338.0,274.57098287598524,275.8026122627711,327.9999999349882,335.0,275.8026122627805
338.0,275.0467947157028,275.80261226277224,322.99999996303364,330.0,275.8026122627805
340.0,274.7529991785719,275.8026122624054,327.9999999562219,335.0,275.8026122627805
339.0,275.5079305777512,275.802612262779,325.99999994243336,331.0,275.8026122627805
343.0,274.74796671717814,275.8026122627634,326.9999999112077,341.0,275.8026122627805
330.0,274.9823929904133,223.99999996626136,322.99999989204684,326.0,275.8026122627805
337.0,275.2951476112183,223.9999999516495,320.9999999434862,330.0,275.8026122627805
329.0,275.06681197869705,275.8026122580132,323.9999999311932,327.0,275.8026122627805
339.0,274.11200351885753,275.8026122627603,331.9999999561144,339.0,275.8026122627805
349.0,275.25374116385217,275.8026122627756,329.9999999108448,329.0,275.8026122627805
328.0,275.5352605186256,275.8026122627713,334.99999998872624,335.0,275.8026122627805
342.0,274.68705266433204,275.80261226277685,333.99999963101993,334.0,275.8026122627805
338.0,275.6369156979736,223.99999999466468,333.99999991451455,332.0,275.8026122627805
343.0,275.3465452561336,223.99999980743064,333.9999998711993,332.0,275.8026122627805
341.0,275.54182323555744,275.802612262767,332.9999999609206,335.0,275.8026122627805
340.0,275.2090182236516,275.80261226277264,340.9999999677279,338.0,275.8026122627805
346.0,276.2447267488972,275.80261226277634,332.9999999636199,343.0,275.8026122627805
334.0,275.3046020464768,275.80261226275405,330.99999986975934,341.0,275.8026122627805
341.0,274.9155559447348,275.8026122627521,323.9999998111545,328.0,275.8026122627805
333.0,274.5870739220106,275.8026122627746,317.9999999592235,319.0,275.8026122627805
331.0,275.3648849848209,275.80261226276514,334.9999999948947,334.0,275.8026122627805
339.0,274.46890689100144,224.00000000216392,340.9999995130811,327.0,275.8026122627805
345.0,274.5785868784656,275.8026122627798,327.99999990970247,325.0,275.8026122627805
330.0,275.28661446397086,275.80261226275803,321.99999994342505,332.0,275.8026122627805
327.0,274.4742317334384,223.99999959057615,339.9999998862337,329.0,275.8026122627805
327.0,274.8244478957982,275.80261226258784,328.99999997040686,325.0,275.8026122627805
338.0,274.47014720341906,275.8026122627531,324.99999991809096,331.0,275.8026122627805
327.0,274.99000827773324,275.80261226278003,324.99999993509823,336.0,275.8026122627805
338.0,274.30985004154974,275.80261226277554,337.9999997577964,335.0,275.8026122627805
340.0,274.1998532384125,275.8026122627556,339.9999998215648,327.0,275.8026122627805
338.0,275.1094609370072,275.802612262771,323.99999988373094,341.0,275.8026122627805
330.0,274.4498484006028,275.8026122625523,329.9999999601732,335.0,275.8026122627805
334.0,275.5484181983399,223.9999999891806,324.99999977304856,325.0,275.8026122627805
330.0,274.701705085791,275.80261226251247,334.9999999643806,333.0,275.8026122627805
332.0,274.3663649842906,224.0000000000411,317.9999998449659,338.0,275.8026122627805
336.0,273.71871016720434,224.0000000104535,328.99999976001715,328.0,275.8026122627805
336.0,275.3526046897421,275.80261226277486,332.99999985092404,331.0,275.8026122627805
326.0,274.1418503920272,223.99999999952863,337.0000006463188,329.0,275.8026122627805
329.0,273.854145821747,275.8026122622664,321.9999998394634,335.0,275.8026122627805
334.0,273.0003710917986,223.99999999010305,330.9999999971112,327.0,275.8026122627805
339.0,275.06632969233846,275.8026122627002,332.99999963758626,330.0,275.8026122627805
338.0,275.0804702475949,223.99999998447575,324.9999999905216,343.0,275.8026122627805
332.0,275.5116493174197,275.8026122624493,332.99999979276754,330.0,275.8026122627805
336.0,275.0053255095171,224.00000025074948,336.999999850928,336.0,275.8026122627805
338.0,274.58956497307014,275.8026122627765,325.9999995018358,331.0,275.8026122627805
335.0,274.7085665059923,275.80261226277867,332.99999993980333,332.0,275.8026122627805
339.0,273.8794167495329,275.8026122627586,333.99999983463783,336.0,275.8026122627805
329.0,274.7520055397521,275.8026122627644,328.99999989397907,339.0,275.8026122627805
348.0,275.02973665738926,275.8026122627772,335.9999997566958,317.0,275.8026122627805
334.0,275.16726353871326,275.8026122624832,326.9999998764167,330.0,275.8026122627805
339.0,275.06065402809685,275.8026122625923,333.9999999835404,342.0,275.8026122627805
330.0,275.67188571232555,275.80261226275263,330.99999997505927,330.0,275.8026122627805
341.0,274.1993457413766,275.8026122627697,325.9999999002434,329.0,275.8026122627805
343.0,274.1953294657341,275.8026122627733,316.999999526433,343.0,275.8026122627805
335.0,274.61486163927344,275.802612262466,325.9999998832127,337.0,275.8026122627805
336.0,275.0861395820045,275.80261226277185,325.99999985186946,334.0,275.8026122627805
340.0,275.5540158399823,275.8026122627792,335.99999978069684,338.0,275.8026122627805
327.0,274.61028746837235,275.8026122627755,333.99999997569927,340.0,275.8026122627805
331.0,274.7079270402099,224.0,326.99999972719826,339.0,275.8026122627805
336.0,274.18879986203217,275.8026122625297,332.9999999257692,336.0,275.8026122627805
342.0,275.25958035067936,275.80261226275115,337.9999998128514,326.0,275.8026122627805
338.0,274.4507578684344,275.80261226277696,333.9999999744264,339.0,275.8026122627805
333.0,274.81301503770953,275.8026122627692,321.9999998902212,336.0,275.8026122627805
332.0,274.69744411795864,275.80261226277264,331.99999989577617,332.0,275.8026122627805
331.0,275.36487397034387,275.80261226276195,325.99999997705754,338.0,275.8026122627805
