XQAOA,MA_QAOA,QAOA,Classical,Geomans_Williamson,QAOA*
204.0,173.4230214037524,169.149839826813,205.99999907188203,214.0,169.1498398268151
206.0,172.42305536902126,169.14983982680832,205.99999760124047,212.0,169.1498398268151
204.0,173.19615188393217,169.14983982641797,201.99999991539968,214.0,169.1498398268151
204.0,173.428202970864,169.14983982680235,195.99999476451356,198.0,169.1498398268151
214.0,173.07254060778098,169.1498398267836,200.00000905536268,216.0,169.1498398268151
216.0,172.72206137738473,169.14983982681412,199.99999988412665,212.0,169.1498398268151
212.0,173.57772198236324,127.99999997731004,199.9999998506227,210.0,169.1498398268151
210.0,173.0004156914681,127.99999994196116,199.99999975430543,216.0,169.1498398268151
216.0,174.14470926415677,169.14983982681352,198.00000048715927,214.0,169.1498398268151
210.0,173.46411337432562,169.14983982681073,203.9999998511254,210.0,169.1498398268151
208.0,173.35085275930226,169.14983982681278,209.9999998460089,216.0,169.1498398268151
210.0,173.85085281234566,169.14983982681358,197.99999950740573,212.0,169.1498398268151
208.0,173.25460602149695,169.1498398267292,199.9999971777553,210.0,169.1498398268151
218.0,173.7272410921215,169.14983982681264,203.99999996098896,206.0,169.1498398268151
212.0,172.95894044950234,169.14983982679482,197.9999999550468,210.0,169.1498398268151
210.0,174.96410139334125,127.9999999836618,199.9999975161267,206.0,169.1498398268151
212.0,173.10881094963642,169.1498398263405,190.00000001084436,214.0,169.1498398268151
206.0,174.73205033151652,169.14983982681264,202.00000215761128,216.0,169.1498398268151
210.0,172.57254022984174,169.14983982681193,199.9999996400912,216.0,169.1498398268151
206.0,173.34567134027552,169.14983982681423,201.999992015389,214.0,169.1498398268151
212.0,173.000371621544,169.14983982680985,207.99999789072945,206.0,169.1498398268151
202.0,173.53108869435468,169.14983982681335,201.99999931738185,216.0,169.1498398268151
206.0,174.35085275275136,169.1498398268131,205.99999809615989,216.0,169.1498398268151
206.0,173.69097002516597,169.1498398268063,199.9999984344967,212.0,169.1498398268151
210.0,172.54146259767455,169.14983982680795,205.9999988924439,214.0,169.1498398268151
210.0,172.83713792950545,169.14983982641814,201.9999930787619,204.0,169.1498398268151
210.0,172.50555320559937,169.1498398268146,201.99999967283085,208.0,169.1498398268151
210.0,173.3508523723786,169.14983982681284,203.99999993719987,202.0,169.1498398268151
212.0,172.76313863142877,169.14983982679942,197.99999977704067,208.0,169.1498398268151
208.0,172.8871229230932,169.14983982672874,205.9999834352548,218.0,169.1498398268151
204.0,173.6136204963128,169.14983982678513,201.9999965658998,216.0,169.1498398268151
206.0,173.19615184916498,169.14983982681315,189.99999657433224,208.0,169.1498398268151
206.0,174.60843850538086,169.14983982673655,205.9999985061716,216.0,169.1498398268151
208.0,174.42302125011088,169.14983982681443,193.99999962136744,204.0,169.1498398268151
212.0,174.2735024517205,169.1498398261265,209.9999999716312,208.0,169.1498398268151
214.0,174.00037072561943,127.99999994949232,199.99999500187172,214.0,169.1498398268151
206.0,172.95892002997982,169.149839826802,195.9999964670968,208.0,169.1498398268151
216.0,173.95891881623115,169.14983982680988,207.99999603398405,206.0,169.1498398268151
208.0,174.27350291716093,169.1498398268137,205.9999905983209,218.0,169.1498398268151
212.0,173.799409914996,169.14983982681397,199.99999698643347,210.0,169.1498398268151
208.0,173.34567113310905,169.14983982681193,209.9999999961552,210.0,169.1498398268151
212.0,173.58290390687233,169.1498398268149,195.9999992320545,214.0,169.1498398268151
210.0,173.1602538024597,169.14983982680303,201.99999975725348,212.0,169.1498398268151
208.0,172.84049239451048,169.1498398267967,203.99999619340596,214.0,169.1498398268151
212.0,172.9282028145957,169.14983982665197,203.9999995192336,206.0,169.1498398268151
210.0,173.88156975025618,169.1498398268151,203.99999983943587,214.0,169.1498398268151
208.0,173.0777217922582,169.14983982610963,201.99999931086137,214.0,169.1498398268151
206.0,173.2631529900868,169.14983982679877,191.9999999763341,210.0,169.1498398268151
212.0,172.64470936802294,169.14983982681343,201.99999506443,210.0,169.1498398268151
210.0,173.61362008696747,169.14983982681477,191.99999938965175,212.0,169.1498398268151
214.0,173.10508699551303,169.14983982680783,199.9999966735933,210.0,169.1498398268151
212.0,172.5725406417605,169.14983982674002,199.99999957781984,212.0,169.1498398268151
214.0,172.53666235890233,169.14983982653828,193.9999969364586,214.0,169.1498398268151
214.0,173.45411029502085,169.1498398268134,193.9999991291953,216.0,169.1498398268151
212.0,173.92301981790928,169.149839826813,201.99999862523475,204.0,169.1498398268151
210.0,173.0211524507911,127.99999995857502,201.9999981741117,200.0,169.1498398268151
214.0,174.1188015755594,169.14983982681264,199.99999973838132,198.0,169.1498398268151
210.0,172.8819415803971,169.14983982681315,199.9999992003047,204.0,169.1498398268151
204.0,172.5832757250181,169.14983982676642,199.999999630456,208.0,169.1498398268151
208.0,172.45929196973458,169.1498398261747,208.00000021237324,208.0,169.1498398268151
212.0,173.84048980889676,169.14983982678118,191.9999993474588,204.0,169.1498398268151
208.0,173.5362702539717,169.14983982681318,197.99999761011549,214.0,169.1498398268151
204.0,174.03626999426922,169.14983982680664,207.99999998071905,204.0,169.1498398268151
212.0,173.03664187973305,169.14983982681252,201.9999966367772,212.0,169.1498398268151
208.0,173.2376039676234,169.14983982681028,201.9999973691368,216.0,169.1498398268151
218.0,173.77350242827927,169.14983982671896,200.00000220099597,214.0,169.1498398268151
210.0,173.76313924911426,169.14983982681446,199.99999996404483,204.0,169.1498398268151
214.0,172.61362030926946,169.14983982681443,195.9999933113452,210.0,169.1498398268151
212.0,173.61362029868312,169.1498398266848,193.99999974205585,206.0,169.1498398268151
200.0,174.41784010192387,169.14983982228998,203.99999984931796,216.0,169.1498398268151
210.0,172.80459175253688,169.14983982681213,197.9999978812696,206.0,169.1498398268151
208.0,172.57772540006937,169.1498398268149,189.9999976581456,208.0,169.1498398268151
204.0,173.8815696647841,169.14983982681187,199.99999997630263,214.0,169.1498398268151
202.0,172.96410142383954,169.14983982607987,191.99999984921007,212.0,169.1498398268151
208.0,173.57773228060523,169.14983982681193,209.9999999873457,214.0,169.1498398268151
214.0,173.06735902694058,169.14983982681352,203.9999996817324,210.0,169.1498398268151
210.0,173.464101422479,169.14983982680707,199.9999997786983,210.0,169.1498398268151
212.0,174.19097054575943,169.14983982680846,201.99999942249667,214.0,169.1498398268151
210.0,172.92820282662942,169.14983982679627,201.9999997611588,210.0,169.1498398268151
206.0,173.68578913529691,169.14983982680727,203.9999994426247,200.0,169.1498398268151
212.0,173.46410113896926,169.14983982681403,195.99999969997037,206.0,169.1498398268151
214.0,173.19615051520074,169.14983982681457,205.99999964094536,218.0,169.1498398268151
214.0,173.11361782972034,169.14983982681272,199.9999994484607,216.0,169.1498398268151
210.0,173.88675094825274,169.1498398268127,187.9999994524908,208.0,169.1498398268151
212.0,173.2735023122801,169.14983982680488,205.99999762498885,212.0,169.1498398268151
208.0,173.41783998650368,169.14983982681096,197.99999718595288,212.0,169.1498398268151
210.0,173.22205925600196,169.14983982681102,205.99999979897976,218.0,169.1498398268151
210.0,172.53627075274505,169.14983982681125,201.9999996992856,208.0,169.1498398268151
214.0,174.4230656445767,169.14983982681315,197.99999994436016,200.0,169.1498398268151
206.0,173.72205948599867,169.14983982681056,205.99999852577184,208.0,169.1498398268151
208.0,173.50037140086752,169.14983982681343,207.99999991023515,208.0,169.1498398268151
208.0,173.1188019546095,169.14983982680715,197.99999988159828,214.0,169.1498398268151
210.0,173.23241565310244,169.14983982676117,199.99999997563228,208.0,169.1498398268151
202.0,174.06735852609907,169.14983982464454,205.99999931972096,208.0,169.1498398268151
208.0,172.80977267182064,169.14983982676074,199.9999978475178,212.0,169.1498398268151
210.0,173.1136204923768,127.99999996405492,197.9999997206058,210.0,169.1498398268151
212.0,173.4126628234091,169.14983982680252,209.999999835164,208.0,169.1498398268151
212.0,173.1909706479547,169.14983982680897,197.99998636418167,206.0,169.1498398268151
206.0,172.1191793685012,169.14983982681187,211.99999999042217,210.0,169.1498398268151
212.0,173.54145152810167,169.14983982665203,196.00000035948187,212.0,169.1498398268151
