XQAOA,MA_QAOA,QAOA,Classical,Geomans_Williamson,QAOA*
760.0,623.5262348170828,623.023441681301,731.9999933265877,736.0,623.0234416813938
742.0,623.5262347762539,623.023441678612,723.9999952861014,738.0,623.0234416813938
760.0,623.5262354869149,623.0234416810096,731.9999995012747,758.0,623.0234416813938
758.0,616.8235883465991,623.0234416812799,731.9999994445262,746.0,623.0234416813938
742.0,618.0392979753518,623.0234416812625,715.9999996840697,756.0,623.0234416813938
736.0,618.2430119203385,623.0234416810672,721.9999775750947,754.0,623.0234416813938
758.0,623.5262357451177,623.0234416810172,732.0000048328392,758.0,623.0234416813938
746.0,617.979803812207,511.9999999944002,747.9999964661932,750.0,623.0234416813938
744.0,617.2771070610546,623.0234416812307,719.9999861985774,740.0,623.0234416813938
758.0,617.9997938526653,623.023441681358,720.0000255722618,754.0,623.0234416813938
744.0,616.9952496239459,623.0234416812252,743.9999951037614,740.0,623.0234416813938
746.0,623.526233322679,623.0234416813533,719.999999074854,738.0,623.0234416813938
768.0,617.8320623774923,623.0234416812799,731.9999973822763,734.0,623.0234416813938
760.0,623.5262347816575,511.9999998516871,723.999999238904,754.0,623.0234416813938
752.0,623.5262352730124,623.0234416813913,731.9999990799857,744.0,623.0234416813938
746.0,623.5262352085614,511.9999983412452,715.999975609317,740.0,623.0234416813938
754.0,623.5262356510275,623.0234416811136,717.9999991834549,764.0,623.0234416813938
758.0,623.5262361492645,623.0234416812839,721.999999779347,756.0,623.0234416813938
734.0,623.5262287382722,623.0234416813321,728.0000065381757,760.0,623.0234416813938
750.0,623.5262356078068,623.0234416813447,711.9999980576418,754.0,623.0234416813938
748.0,623.5262360226923,623.0234416811243,731.9999872239941,756.0,623.0234416813938
750.0,623.5262352384364,512.0000000073805,739.9999991353063,752.0,623.0234416813938
766.0,617.3006949012573,623.0234416711721,727.9999955475472,748.0,623.0234416813938
742.0,623.5262323355847,623.0234416813096,731.9999989317272,722.0,623.0234416813938
734.0,623.5262350343306,623.023441681173,733.9999953278058,756.0,623.0234416813938
760.0,616.3150938147065,623.0234416812866,720.0000049463447,744.0,623.0234416813938
764.0,618.3786730145415,623.0234416812298,741.9999978784382,756.0,623.0234416813938
738.0,623.5262355346182,512.0000000002799,737.9999992693416,748.0,623.0234416813938
754.0,623.5262357986841,623.0234416813365,738.0000187987364,762.0,623.0234416813938
754.0,623.5262340451293,623.0234416799594,720.0000180453488,756.0,623.0234416813938
734.0,623.5262359175717,623.0234416804498,717.9999766103209,756.0,623.0234416813938
748.0,623.5262350727503,512.0000041780884,715.9999819517757,750.0,623.0234416813938
762.0,623.5262356511264,623.0234416812707,719.999993918369,756.0,623.0234416813938
734.0,623.5262348075814,623.0234416812481,733.999999915134,730.0,623.0234416813938
750.0,623.52623545981,623.0234416812762,723.9999941823796,742.0,623.0234416813938
736.0,623.5262349295992,511.99999933415154,723.9999974751067,736.0,623.0234416813938
758.0,623.5262359289401,623.023441681355,715.999998963968,758.0,623.0234416813938
748.0,618.0436920908905,623.0234416813173,719.9999781057254,738.0,623.0234416813938
756.0,616.9100416559928,623.023441681003,743.9999994985927,752.0,623.0234416813938
748.0,623.5262359179793,623.0234416812967,710.000006437063,730.0,623.0234416813938
748.0,616.7935312158038,511.9999993536649,719.9999712109935,738.0,623.0234416813938
748.0,623.5262353145795,623.0234416812456,717.9999822667456,742.0,623.0234416813938
748.0,617.1620596948102,512.0000001798036,721.99999049933,760.0,623.0234416813938
756.0,623.5262357382062,623.023441681126,719.9999941702633,744.0,623.0234416813938
748.0,623.5262360022086,623.0234416813454,728.0000176567372,744.0,623.0234416813938
750.0,623.5262349382202,623.0234416812218,731.9999838991315,744.0,623.0234416813938
734.0,623.5262359520983,623.023441681389,733.9999931909227,754.0,623.0234416813938
758.0,623.5262356209385,623.0234416813674,723.9999958147238,752.0,623.0234416813938
748.0,623.5262347403869,623.0234416802823,726.0000004470655,756.0,623.0234416813938
748.0,623.5262341585163,512.0000000000001,727.9999646335627,722.0,623.0234416813938
740.0,623.5262350805697,511.9999999995353,729.9999991425088,752.0,623.0234416813938
746.0,616.4831240270722,623.0234416811548,733.9999986833652,756.0,623.0234416813938
742.0,617.9924403789097,623.0234416810518,739.9999905969204,738.0,623.0234416813938
742.0,618.7870982527727,623.0234416813661,739.9999984273848,750.0,623.0234416813938
748.0,618.1965503739441,623.0234416813646,727.9999934823431,738.0,623.0234416813938
766.0,617.0039171478529,623.0234416813656,731.9999899569659,732.0,623.0234416813938
